Region,Service_Type,Type,Num_Branches,Cumulative_Percentage,Branches
AMD,Air Red,Billed Wt,114,67.89626648781585,"B02, B06, B07, B09, B11, B26, B32, B35, B58, B59, B61, C13, C15, C36, C47, C48, C74, E06, E21, H07, H08, H09, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, I08, I46, J01, J02, J03, J05, J07, J13, J15, J21, K05, K06, K07, K08, K28, K75, L02, L04, L23, L27, M01, M02, M05, M07, M08, M39, M47, M48, N02, N03, N09, N11, N15, N17, N31, N32, N33, N35, N37, O02, O04, O07, O08, O09, O12, O13, O89, P04, P11, P15, P19, P24, Q02, Q06, R32, S01, S02, S03, S04, S09, T13, U01, U03, U06, U09, U10, U13, U139, U24, U30, V05, V08, V09, V10, V13, V16, V58, W52, X22"
AMD,Air Red,Volume,66,43.7441376312599,"B02, B06, B07, B09, B11, B26, B35, B58, B59, B61, C13, C47, E06, E21, H07, H08, H09, H11, H48, H70, H71, H74, H75, H79, H80, J01, J02, J03, K05, L02, L04, M01, M05, M07, M47, N02, N03, N09, N11, N17, N37, O02, O04, O05, O08, O09, O12, O13, P04, P12, P15, P19, P24, Q01, Q06, Q17, S01, S04, S09, U03, U10, V05, V08, V10, V58, X22"
AMD,Air White,Billed Wt,276,90.10208475702797,"B01, B02, B05, B06, B07, B08, B09, B11, B14, B16, B18, B19, B26, B27, B32, B35, B38, B39, B43, B50, B51, B53, B58, B59, B61, B68, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C59, C74, E02, E03, E05, E06, E07, E09, E10, E11, E16, E21, E23, H07, H08, H09, H10, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, H92, H96, H98, I02, I08, I40, I42, I43, I46, J01, J02, J03, J04, J05, J07, J08, J12, J13, J15, J16, J18, J19, J20, J21, J25, J26, J37, J48, K03, K05, K06, K07, K08, K14, K15, K22, K23, K28, K32, K37, K39, K40, K45, K63, K72, K74, K75, K79, K81, K85, L02, L03, L04, L05, L23, L27, M01, M02, M04, M05, M06, M07, M08, M39, M45, M46, M47, M48, M54, M59, M61, M63, M66, M78, M85, M87, N02, N03, N09, N10, N11, N15, N17, N31, N32, N33, N35, N37, N38, N42, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O23, O60, O88, O89, O90, O93, P04, P06, P08, P09, P10, P11, P12, P15, P16, P17, P19, P20, P22, P24, P27, P38, P50, Q01, Q02, Q03, Q04, Q06, Q07, Q09, Q11, Q16, Q17, Q34, Q35, R07, R08, R11, R12, R32, S01, S02, S03, S04, S09, S17, S26, S27, T03, T04, T10, T13, T32, U01, U02, U03, U06, U07, U09, U10, U13, U130, U139, U14, U143, U15, U16, U18, U22, U23, U24, U25, U30, U48, V01, V04, V05, V07, V08, V09, V10, V11, V12, V13, V15, V16, V21, V24, V57, V58, W02, W03, W04, W05, W06, W07, W09, W12, W52, X02, X10, X12, X17, X22"
AMD,Air White,Volume,210,81.47267172973443,"B01, B02, B05, B06, B07, B08, B09, B11, B16, B18, B19, B26, B32, B35, B38, B43, B50, B53, B58, B59, B61, B68, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C53, C74, E02, E03, E06, E21, E23, H07, H08, H09, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, H92, H96, H98, I02, I08, I40, I42, I43, I46, J01, J02, J03, J04, J05, J07, J08, J13, J18, J21, J25, J26, K01, K05, K06, K07, K08, K15, K22, K23, K32, K39, K40, K45, K72, K74, K75, K81, L02, L03, L04, L23, L27, M01, M02, M04, M05, M06, M07, M08, M39, M45, M46, M47, M48, M54, M59, M61, M66, M78, M85, M87, N02, N03, N09, N11, N15, N17, N31, N32, N35, N37, N38, N42, O01, O02, O03, O04, O05, O07, O08, O09, O12, O13, O23, O60, O90, P04, P06, P08, P09, P10, P11, P12, P15, P19, P20, P22, P24, P27, P50, Q01, Q02, Q03, Q04, Q06, Q09, Q16, Q17, Q35, R07, R08, R11, R32, S01, S02, S03, S04, S09, S27, T03, T04, T32, U02, U03, U06, U07, U09, U10, U13, U130, U139, U16, U30, U48, V01, V04, V05, V07, V08, V09, V10, V11, V12, V13, V15, V16, V57, V58, W02, W07, W21, W52, X22"
AMD,Ground,Billed Wt,252,87.3293197616683,"B01, B02, B05, B06, B07, B08, B09, B11, B14, B16, B19, B26, B27, B32, B35, B38, B42, B43, B50, B51, B53, B58, B59, B61, B68, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C53, C57, C74, E02, E03, E06, E07, E09, E16, E21, E23, H08, H09, H10, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, H96, I02, I03, I07, I08, I19, I20, I34, I40, I42, I43, I44, I46, J01, J02, J03, J04, J05, J07, J08, J12, J13, J16, J18, J19, J21, J25, J26, J36, K05, K06, K07, K08, K22, K23, K28, K29, K32, K37, K40, K45, K72, K74, K75, K81, K85, L03, L04, L05, L23, L27, M01, M02, M04, M05, M06, M07, M08, M35, M39, M45, M46, M47, M48, M54, M59, M61, M63, M66, M78, M85, N02, N03, N09, N11, N15, N17, N31, N32, N33, N35, N37, N38, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O88, P04, P06, P08, P09, P10, P11, P12, P15, P16, P19, P20, P22, P24, P25, P27, P38, P50, P65, Q01, Q02, Q03, Q04, Q06, Q09, Q11, Q12, Q14, Q16, Q35, R02, R04, R07, R08, R11, R12, R32, S01, S02, S04, S17, S26, S27, T03, T04, T05, T06, T10, T13, U01, U02, U03, U06, U07, U09, U10, U13, U130, U133, U139, U14, U143, U15, U16, U23, U24, U25, U26, U30, U48, U95, V01, V04, V05, V07, V08, V09, V11, V13, V15, V16, V58, W02, W03, W04, W06, W07, W12, W23, W52, X02, X10, X22, X25"
AMD,Ground,Volume,3,3.2513379733159136,"P04, P19, S04"
BBI,Air Red,Billed Wt,2,12.182181492455046,"L04, T03"
BBI,Air Red,Volume,1,6.2856385094814975,L04
BBI,Air White,Billed Wt,5,11.890088321884202,"B06, B35, H74, K05, L04"
BBI,Air White,Volume,3,7.915983730953681,"B06, B35, K39"
