Region,Optimal_Percentage,Num_Branches
AMD,75.02790000000006,210
BBI,83.30969999999999,68
BLR,78.72879999999999,140
CCU,73.48059999999998,114
CHE,78.70319999999998,130
CJB,83.54040000000002,124
COK,85.9218,60
EUP,80.2483,143
GAU,88.655,47
GGN,76.6895,183
HHPT,73.84130000000002,161
HYD,79.58990000000001,105
IDR,78.4533,167
JAI,75.12250000000009,196
MUM,73.86420000000003,188
NDL,74.67779999999998,186
NGP,77.88669999999992,153
PAT,80.57500000000003,110
PNQ,74.56669999999998,178
SDL,77.82230000000008,193
VJA,86.43780000000002,72
WUP,76.83070000000001,180
