Region,Optimal_Percentage,Num_Branches
AMD,78.93690000000007,202
BBI,80.82889999999999,139
BLR,77.46280000000003,174
CCU,77.80399999999997,163
CHE,80.38490000000013,181
CJB,80.52230000000003,150
COK,85.61490000000006,81
EUP,82.11290000000004,147
GAU,84.38429999999998,131
GGN,78.54400000000001,160
HHPT,77.61289999999997,180
HYD,78.25680000000007,131
IDR,78.95789999999987,162
JAI,79.19709999999998,174
MUM,75.4233000000001,196
NDL,76.63589999999996,199
NGP,79.40859999999994,143
PAT,81.22870000000005,154
PNQ,77.8751,158
SDL,77.97570000000002,208
VJA,83.92459999999994,92
WUP,79.55250000000002,169
