Region,Optimal_Percentage,Num_Branches
AMD,76.66700000000006,208
BBI,85.15560000000004,123
BLR,79.73519999999995,131
CCU,77.92389999999997,118
CHE,79.63120000000002,160
CJB,82.2674,114
COK,88.85720000000002,48
EUP,80.99079999999998,157
GAU,86.80449999999996,89
GGN,79.0908,181
HHPT,78.75749999999995,139
HYD,80.7097,91
IDR,79.5473,161
JAI,77.16910000000006,190
MUM,75.81849999999993,176
NDL,77.1526,182
NGP,79.95589999999999,146
PAT,81.59249999999994,140
PNQ,76.61149999999995,131
SDL,78.38619999999999,178
VJA,88.34129999999996,68
WUP,78.31500000000001,165
