zone,region,city,office,name,lat,lon
WEST,AHMEDABAD,BARODA,A02,BARODA BRANCH,22.33424307,73.16552617
WEST,AHMEDABAD,RAJKOT,A03,RAJKOT BRANCH,22.27983403,70.79548111
WEST,AHMEDABAD,VAPI,A05,VAPI BRANCH,20.36025,72.9179
WEST,AHMEDABAD,ANKLESHWAR,A07,ANKLESHWAR BRANCH,21.611786,73.0201776
WEST,AHMEDABAD,AHMEDABAD,A11,KHOKHRA BRANCH,23.00743692,72.61368813
WEST,AHMEDABAD,AHMEDABAD,A24,AHMEDABAD BRANCH,23.0331,72.5689
WEST,AHMEDABAD,JAMNAGAR,A33,JAMNAGAR BRANCH,22.474815,70.067623
WEST,AHMEDABAD,AHMEDABAD,A36,AHMEDABAD WEST BRANCH,23.0749203,72.5213679
WEST,AHMEDABAD,GANDHINAGAR,A38,GANDHINAGAR BRANCH,23.25521,72.632783
WEST,AHMEDABAD,ANAND,A44,ANAND BRANCH,22.544634,72.952506
WEST,AHMEDABAD,SURENDRANAGAR,A45,SURENDRANAGAR BRANCH,22.72493337,71.63302204
WEST,AHMEDABAD,SURAT,A46,SURAT CITY BRANCH,21.209618,72.837093
WEST,AHMEDABAD,AHMEDABAD,A48,CHILODA BRANCH,23.106326,72.683018
WEST,AHMEDABAD,HALOL,A49,HALOL BRANCH,22.3459576,73.2425377
WEST,AHMEDABAD,SURAT,A55,PANDESARA BRANCH,21.149082,72.851499
SOUTH,BANGALORE,MYSORE,B02,MYSORE BRANCH,12.2854657,76.6129104
SOUTH,BANGALORE,HUBLI,B03,HUBLI BRANCH,15.356049,75.130127
SOUTH,BANGALORE,BANGALORE,B06,BOMMANAHALLI BRANCH,12.89117,77.642539
SOUTH,BANGALORE,BANGALORE,B07,CHAMRAJPET BRANCH,12.96043469,77.56498796
SOUTH,BANGALORE,BANGALORE,B08,PEENYA BRANCH,13.02106784,77.52206709
SOUTH,BANGALORE,BANGALORE,B09,RAJAJINAGAR BRANCH,12.9819403,77.54759633
SOUTH,BANGALORE,BANGALORE,B11,HENNUR BRANCH,13.02813674,77.63153566
SOUTH,BANGALORE,BANGALORE,B115,KAMBIPURA IGSP BRANCH,12.96142,77.568874
SOUTH,BANGALORE,BANGALORE,B116,MALLESHWARAM IGSP BRANCH,13.001676,77.571476
SOUTH,BANGALORE,BANGALORE,B118,BANGALORE STATIONERY BRANCH,13.1052,77.6178
SOUTH,BANGALORE,BANGALORE,B120,RAJAJESHWARINAGAR BRANCH,12.939009,77.516769
SOUTH,BANGALORE,HASSAN,B18,HASSAN BRANCH,12.99714,76.102602
SOUTH,BANGALORE,BANGALORE,B24,BANGALORE INTERNATIONAL BRANCH,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B26,KOGILU BRANCH,13.1052,77.6178
SOUTH,BANGALORE,HOSUR,B27,HOSUR BRANCH,12.75013404,77.7943002
SOUTH,BANGALORE,PANJIM,B32,GOA PANJIM BRANCH,15.488056,73.856111
SOUTH,BANGALORE,BANGALORE,B34,CORPORATE STORES - SIRSI CIRCLE BRANCH,12.9621,77.5584
SOUTH,BANGALORE,BANGALORE,B35,WHITE FIELD BRANCH,12.989308,77.695614
SOUTH,BANGALORE,SIRSI,B39,SIRSI BRANCH OFFICE,14.609508,74.843485
SOUTH,BANGALORE,BANGALORE,B44,BANGALORE AIRPORT BRANCH,12.95917606,77.65560512
SOUTH,BANGALORE,DAVANGERE,B50,DAVANGERE BRANCH,14.45819985,75.93869766
SOUTH,BANGALORE,MARGAO,B51,MARGAO BRANCH,15.28476,73.979993
SOUTH,BANGALORE,BANGALORE,B58,DOMLUR BRANCH,12.95462894,77.64167023
SOUTH,BANGALORE,BANGALORE,B59,SARAKKI BRANCH,12.910815,77.578157
SOUTH,BANGALORE,BANGALORE,B61,NERALURU BRANCH,12.79177099,77.72562365
SOUTH,BANGALORE,CHICKAMAGALUR,B64,CHIKMAGALUR BRANCH,13.30763626,75.79417419
SOUTH,BANGALORE,SALCETE,B65,VERNA BRANCH,15.373485,73.92967
SOUTH,BANGALORE,BANGALORE,B68,HOSKOTE BRANCH,13.0771846,77.80560124
SOUTH,CHENNAI,PONDICHERRY,C02,PONDICHERRY BRANCH,11.946191,79.777866
SOUTH,CHENNAI,KATPADI,C08,KATPADI BRANCH,12.93120167,79.13423333
SOUTH,CHENNAI,CHENNAI,C13,GUINDY BRANCH,13.01608,80.21167
SOUTH,CHENNAI,CHENNAI,C14,AMINJIKARAI BRANCH,13.069909,80.222846
SOUTH,CHENNAI,CHENNAI,C15,PARRYS BRANCH,13.09632,80.29147
SOUTH,CHENNAI,VILLUPURAM - TN,C22,VILLUPURAM BRANCH,11.9280556,79.48025
SOUTH,CHENNAI,CHENNAI,C35,CHENNAI INTERNATIONAL BRANCH,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C36,ELDAMS ROAD BRANCH,13.03911,80.25107
SOUTH,CHENNAI,CHENNAI,C37,AMBATTUR BRANCH,13.09959,80.17181
SOUTH,CHENNAI,CHENNAI,C38,PORUR BRANCH,13.03247784,80.15710585
SOUTH,CHENNAI,CHENNAI,C48,MADHAVARAM BRANCH,13.15025,80.22126
SOUTH,CHENNAI,THANDALAM,C53,SREEPERUMBADHUR BRANCH,12.968381,79.953607
SOUTH,CHENNAI,CHENGALPATTU,C57,CHENGALPET BRANCH,12.69987,79.96918
SOUTH,CHENNAI,KANCHIPURAM,C59,KANCHEEPURAM BRANCH,12.83647045,79.7125383
SOUTH,CHENNAI,SRICITY,C60,SRI CITY BRANCH,13.57028,80.03544
SOUTH,CHENNAI,CHENNAI,C73,GUMMIDIPOONDI BRANCH,13.40894,80.12071
SOUTH,CHENNAI,CHENNAI,C74,THIRUVERKADU BRANCH,13.0630475,80.1391284
SOUTH,CHENNAI,CHENNAI,C77,IP DISPATCH CHENNAI BRANCH,13.063334,80.138879
SOUTH,COIMBATORE,TIRUPUR,E02,TIRUPUR BRANCH,11.10782426,77.32839594
SOUTH,COIMBATORE,ERODE,E03,ERODE BRANCH,11.345784,77.640083
SOUTH,COIMBATORE,KARUR,E05,KARUR BRANCH,10.962204,78.060505
SOUTH,COIMBATORE,TRICHY,E06,TRICHY BRANCH,10.80083672,78.70687294
SOUTH,COIMBATORE,DINDIGUL,E07,DINDIGUL BRANCH,10.36984208,77.95070109
SOUTH,COIMBATORE,TIRUNELVELI,E09,TIRUNELVELI BRANCH,8.723193292,77.72106845
SOUTH,COIMBATORE,TUTICORIN,E10,TUTICORIN BRANCH,8.807496667,78.14142833
SOUTH,COIMBATORE,KRISHNAGIRI,E16,KRISHNAGIRI BRANCH,12.52387243,78.21039917
SOUTH,COIMBATORE,SIVAKASI,E20,SIVAKASI BRANCH,9.46405,77.79675
SOUTH,COIMBATORE,COIMBATORE,E21,COIMBATORE CITY BRANCH,11.02051,76.98313
SOUTH,COIMBATORE,THANJAVUR,E23,THANJAVUR BRANCH,10.7784691,79.1668871
SOUTH,COIMBATORE,THENI,E24,THENI BRANCH,10.008256,77.478499
SOUTH,COIMBATORE,TIRUPUR,E57,TIRUPUR SCS BRANCH,11.15889,77.38861
SOUTH,HYDERABAD,HYDERABAD,H07,BASHEERBAGH BRANCH,17.4067876,78.4778127
SOUTH,HYDERABAD,HYDERABAD,H09,BALANAGAR BRANCH,17.47813,78.426128
SOUTH,HYDERABAD,HYDERABAD,H10,BEGUMPET BRANCH,17.4451241,78.4626917
SOUTH,HYDERABAD,HYDERABAD,H11,KARMANGHAT BRANCH,17.3388089,78.53665725
SOUTH,HYDERABAD,HYDERABAD,H48,ANANDBAGH BRANCH,17.459601,78.557657
SOUTH,HYDERABAD,HYDERABAD,H74,BOWENPALLY BRANCH,17.4896187,78.4822783
SOUTH,HYDERABAD,HYDERABAD,H75,BACHUPALLY NIZAMPET ROAD BRANCH,17.537887,78.363998
SOUTH,HYDERABAD,HYDERABAD,H79,NAGOLE PRACEL BRANCH,17.38219998,78.56766162
SOUTH,HYDERABAD,HYDERABAD,H80,CHANDANAGAR BRANCH,17.49883763,78.31574381
SOUTH,HYDERABAD,KHAMMAM,H91,KHAMMAM BRANCH,17.24848457,80.12996734
SOUTH,HYDERABAD,SURYAPET,H92,SURYAPET BRANCH,17.152417,79.621611
SOUTH,HYDERABAD,RANGAREDDY,H96,SHAMSHABAD BRANCH,17.25955818,78.37652436
WEST,INDORE REGIONAL OFFICE,BHOPAL,I02,BHOPAL BRANCH,23.27432761,77.43983616
WEST,INDORE REGIONAL OFFICE,PITAMPUR,I03,PITHAMPUR SUB BRANCH,22.5950692,75.696276
WEST,INDORE REGIONAL OFFICE,JABALPUR,I08,JABALPUR BRANCH,23.2019213,79.885772
WEST,INDORE REGIONAL OFFICE,REWA,I19,REWA BRANCH,24.5444,81.32317
WEST,INDORE REGIONAL OFFICE,DEWAS,I20,DEWAS BRANCH,22.976737,76.054412
WEST,INDORE REGIONAL OFFICE,SAGAR(MP),I34,SAGAR BRANCH,23.84878135,78.74049686
WEST,INDORE REGIONAL OFFICE,BETUL,I39,BETUL BRANCH,21.9018963,77.891193
