org_branch,type,mode,sum
W09-ANGUL BRANCH,Volume,Air,416.0
W09-ANGUL BRANCH,Billed Wt,Air,195.0
W09-ANGUL BRANCH,Volume,Ground,5069.0
W09-ANGUL BRANCH,Billed Wt,Ground,10210.0
W06-BALASORE BRANCH,Volume,Air,596.0
W06-BALASORE BRANCH,Billed Wt,Air,390.0
W06-BALASORE BRANCH,Volume,Ground,5857.0
W06-BALASORE BRANCH,Billed Wt,Ground,9472.0
W04-BERHAMPUR BRANCH,Volume,Air,677.0
W04-BERHAMPUR BRANCH,Billed Wt,Air,486.0
W04-BERHAMPUR BRANCH,Volume,Ground,5137.0
W04-BERHAMPUR BRANCH,Billed Wt,Ground,25089.0
W14-BHADRAK SORTING OFFICE,Volume,Air,257.0
W14-BHADRAK SORTING OFFICE,Billed Wt,Air,75.0
W14-BHADRAK SORTING OFFICE,Volume,Ground,1979.0
W14-BHADRAK SORTING OFFICE,Billed Wt,Ground,3136.0
W10-BHUBANESHWAR SURFACE APEX,Volume,Air,0.0
W10-BHUBANESHWAR SURFACE APEX,Billed Wt,Air,0.0
W10-BHUBANESHWAR SURFACE APEX,Volume,Ground,1147.0
W10-BHUBANESHWAR SURFACE APEX,Billed Wt,Ground,79394.0
W21-RUCHIKA MARKET BRANCH,Volume,Air,2261.0
W21-RUCHIKA MARKET BRANCH,Billed Wt,Air,1604.0
W21-RUCHIKA MARKET BRANCH,Volume,Ground,7191.0
W21-RUCHIKA MARKET BRANCH,Billed Wt,Ground,8794.0
W52-MANCHESWAR BRANCH,Volume,Air,8748.0
W52-MANCHESWAR BRANCH,Billed Wt,Air,12050.0
W52-MANCHESWAR BRANCH,Volume,Ground,33821.0
W52-MANCHESWAR BRANCH,Billed Wt,Ground,90347.0
W53-BHUBANESWAR AIR APEX,Volume,Air,191.0
W53-BHUBANESWAR AIR APEX,Billed Wt,Air,474.0
W53-BHUBANESWAR AIR APEX,Volume,Ground,1072.0
W53-BHUBANESWAR AIR APEX,Billed Wt,Ground,4964.0
W23-BOLANGIR SORTING OFFICE,Volume,Air,341.0
W23-BOLANGIR SORTING OFFICE,Billed Wt,Air,231.0
W23-BOLANGIR SORTING OFFICE,Volume,Ground,3692.0
W23-BOLANGIR SORTING OFFICE,Billed Wt,Ground,8529.0
W02-CUTTACK BRANCH,Volume,Air,2548.0
W02-CUTTACK BRANCH,Billed Wt,Air,1958.0
W02-CUTTACK BRANCH,Volume,Ground,17215.0
W02-CUTTACK BRANCH,Billed Wt,Ground,100856.0
W05-JAJPUR ROAD BRANCH,Volume,Air,484.0
W05-JAJPUR ROAD BRANCH,Billed Wt,Air,217.0
W05-JAJPUR ROAD BRANCH,Volume,Ground,6502.0
W05-JAJPUR ROAD BRANCH,Billed Wt,Ground,7065.0
W12-JHARSUGUDA SERVICE CENTER,Volume,Air,607.0
W12-JHARSUGUDA SERVICE CENTER,Billed Wt,Air,1445.0
W12-JHARSUGUDA SERVICE CENTER,Volume,Ground,4518.0
W12-JHARSUGUDA SERVICE CENTER,Billed Wt,Ground,12678.0
W40-KHURDA NODAL POINT,Volume,Air,566.0
W40-KHURDA NODAL POINT,Billed Wt,Air,514.0
W40-KHURDA NODAL POINT,Volume,Ground,2710.0
W40-KHURDA NODAL POINT,Billed Wt,Ground,6656.0
W22-JEYPORE SORTING OFFICE,Volume,Air,185.0
W22-JEYPORE SORTING OFFICE,Billed Wt,Air,194.0
W22-JEYPORE SORTING OFFICE,Volume,Ground,2134.0
W22-JEYPORE SORTING OFFICE,Billed Wt,Ground,6136.0
W15-PURI SORTING OFFICE,Volume,Air,144.0
W15-PURI SORTING OFFICE,Billed Wt,Air,115.0
W15-PURI SORTING OFFICE,Volume,Ground,1671.0
W15-PURI SORTING OFFICE,Billed Wt,Ground,4661.0
W08-RAYAGADA SUB BRANCH,Volume,Air,121.0
W08-RAYAGADA SUB BRANCH,Billed Wt,Air,42.0
W08-RAYAGADA SUB BRANCH,Volume,Ground,1255.0
W08-RAYAGADA SUB BRANCH,Billed Wt,Ground,2605.0
W03-ROURKELA BRANCH,Volume,Air,946.0
W03-ROURKELA BRANCH,Billed Wt,Air,929.0
W03-ROURKELA BRANCH,Volume,Ground,4503.0
W03-ROURKELA BRANCH,Billed Wt,Ground,7440.0
W07-SAMBALPUR BRANCH,Volume,Air,833.0
W07-SAMBALPUR BRANCH,Billed Wt,Air,746.0
W07-SAMBALPUR BRANCH,Volume,Ground,7505.0
W07-SAMBALPUR BRANCH,Billed Wt,Ground,30552.0
K104-ALIPURDUAR BRANCH,Volume,Air,2.0
K104-ALIPURDUAR BRANCH,Billed Wt,Air,12.0
K104-ALIPURDUAR BRANCH,Volume,Ground,20.0
K104-ALIPURDUAR BRANCH,Billed Wt,Ground,189.0
K22-ASANSOL BRANCH,Volume,Air,1007.0
K22-ASANSOL BRANCH,Billed Wt,Air,721.0
K22-ASANSOL BRANCH,Volume,Ground,11743.0
K22-ASANSOL BRANCH,Billed Wt,Ground,24416.0
K37-BAHARAMPORE BRANCH,Volume,Air,1329.0
K37-BAHARAMPORE BRANCH,Billed Wt,Air,1004.0
K37-BAHARAMPORE BRANCH,Volume,Ground,8608.0
K37-BAHARAMPORE BRANCH,Billed Wt,Ground,21154.0
K63-BANKURA SUPER FRANCHISE,Volume,Air,1288.0
K63-BANKURA SUPER FRANCHISE,Billed Wt,Air,1037.0
K63-BANKURA SUPER FRANCHISE,Volume,Ground,4992.0
K63-BANKURA SUPER FRANCHISE,Billed Wt,Ground,13965.0
K74-BARASAT BRANCH,Volume,Air,3202.0
K74-BARASAT BRANCH,Billed Wt,Air,3570.0
K74-BARASAT BRANCH,Volume,Ground,24685.0
K74-BARASAT BRANCH,Billed Wt,Ground,74308.0
K85-BOLPUR BRANCH,Volume,Air,1556.0
K85-BOLPUR BRANCH,Billed Wt,Air,2100.0
K85-BOLPUR BRANCH,Volume,Ground,16440.0
K85-BOLPUR BRANCH,Billed Wt,Ground,46104.0
K45-BURDWAN BRANCH,Volume,Air,1551.0
K45-BURDWAN BRANCH,Billed Wt,Air,1726.0
K45-BURDWAN BRANCH,Volume,Ground,13576.0
K45-BURDWAN BRANCH,Billed Wt,Ground,30376.0
K79-COOCHBEHAR BRANCH,Volume,Air,1336.0
K79-COOCHBEHAR BRANCH,Billed Wt,Air,875.0
K79-COOCHBEHAR BRANCH,Volume,Ground,7312.0
K79-COOCHBEHAR BRANCH,Billed Wt,Ground,13041.0
K84-DARJEELING BRANCH,Volume,Air,16.0
K84-DARJEELING BRANCH,Billed Wt,Air,16.0
K84-DARJEELING BRANCH,Volume,Ground,95.0
K84-DARJEELING BRANCH,Billed Wt,Ground,303.0
K29-DIAMOND HARBOR SORTING OFFICE,Volume,Air,27.0
K29-DIAMOND HARBOR SORTING OFFICE,Billed Wt,Air,60.0
K29-DIAMOND HARBOR SORTING OFFICE,Volume,Ground,586.0
K29-DIAMOND HARBOR SORTING OFFICE,Billed Wt,Ground,2359.0
K14-DURGAPUR BRANCH,Volume,Air,2559.0
K14-DURGAPUR BRANCH,Billed Wt,Air,2344.0
K14-DURGAPUR BRANCH,Volume,Ground,10774.0
K14-DURGAPUR BRANCH,Billed Wt,Ground,20397.0
K54-FULIA BRANCH,Volume,Air,2518.0
K54-FULIA BRANCH,Billed Wt,Air,5687.0
K54-FULIA BRANCH,Volume,Ground,38762.0
K54-FULIA BRANCH,Billed Wt,Ground,110655.0
K51-GANGTOK SERVICE CENTER,Volume,Air,101.0
K51-GANGTOK SERVICE CENTER,Billed Wt,Air,181.0
K51-GANGTOK SERVICE CENTER,Volume,Ground,409.0
K51-GANGTOK SERVICE CENTER,Billed Wt,Ground,1434.0
K89-HALDIA SERVICE CENTER,Volume,Air,1009.0
K89-HALDIA SERVICE CENTER,Billed Wt,Air,543.0
K89-HALDIA SERVICE CENTER,Volume,Ground,7133.0
K89-HALDIA SERVICE CENTER,Billed Wt,Ground,8194.0
K08-HOWRAH BRANCH,Volume,Air,3722.0
K08-HOWRAH BRANCH,Billed Wt,Air,3043.0
K08-HOWRAH BRANCH,Volume,Ground,32734.0
K08-HOWRAH BRANCH,Billed Wt,Ground,57105.0
K72-KONA BRANCH,Volume,Air,13923.0
K72-KONA BRANCH,Billed Wt,Air,37192.0
K72-KONA BRANCH,Volume,Ground,28262.0
K72-KONA BRANCH,Billed Wt,Ground,401548.0
K95-KOLKATA PAKURIA APEX,Volume,Air,0.0
K95-KOLKATA PAKURIA APEX,Billed Wt,Air,0.0
K95-KOLKATA PAKURIA APEX,Volume,Ground,40.0
K95-KOLKATA PAKURIA APEX,Billed Wt,Ground,215.0
K128-EAST KOLKATA KONA STORAGE CENTER APEX,Volume,Air,0.0
K128-EAST KOLKATA KONA STORAGE CENTER APEX,Billed Wt,Air,0.0
K128-EAST KOLKATA KONA STORAGE CENTER APEX,Volume,Ground,2.0
K128-EAST KOLKATA KONA STORAGE CENTER APEX,Billed Wt,Ground,2.0
K40-KHARAGPUR BRANCH,Volume,Air,1429.0
K40-KHARAGPUR BRANCH,Billed Wt,Air,1154.0
K40-KHARAGPUR BRANCH,Volume,Ground,13994.0
K40-KHARAGPUR BRANCH,Billed Wt,Ground,42462.0
K01-MOULALI BRANCH,Volume,Air,12400.0
K01-MOULALI BRANCH,Billed Wt,Air,16146.0
K01-MOULALI BRANCH,Volume,Ground,55884.0
K01-MOULALI BRANCH,Billed Wt,Ground,29335.0
K02-DTDC BHAWAN,Volume,Air,8.0
K02-DTDC BHAWAN,Billed Wt,Air,0.0
K02-DTDC BHAWAN,Volume,Ground,214.0
K02-DTDC BHAWAN,Billed Wt,Ground,892.0
K04-BAGHBAZAR BRANCH,Volume,Air,10853.0
K04-BAGHBAZAR BRANCH,Billed Wt,Air,12239.0
K04-BAGHBAZAR BRANCH,Volume,Ground,22229.0
K04-BAGHBAZAR BRANCH,Billed Wt,Ground,60309.0
K05-RAJARHAT BRANCH,Volume,Air,8770.0
K05-RAJARHAT BRANCH,Billed Wt,Air,12393.0
K05-RAJARHAT BRANCH,Volume,Ground,42854.0
K05-RAJARHAT BRANCH,Billed Wt,Ground,117435.0
K06-AGARPARA SUPER FRANCHISEE,Volume,Air,5210.0
K06-AGARPARA SUPER FRANCHISEE,Billed Wt,Air,3473.0
K06-AGARPARA SUPER FRANCHISEE,Volume,Ground,27369.0
K06-AGARPARA SUPER FRANCHISEE,Billed Wt,Ground,49086.0
K07-TARATALA(GOPALPUR) MASTER FRANCHISEE,Volume,Air,5881.0
K07-TARATALA(GOPALPUR) MASTER FRANCHISEE,Billed Wt,Air,10560.0
K07-TARATALA(GOPALPUR) MASTER FRANCHISEE,Volume,Ground,24063.0
K07-TARATALA(GOPALPUR) MASTER FRANCHISEE,Billed Wt,Ground,106038.0
K16-KOLKATA RAJARHAT APEX,Volume,Air,6604.0
K16-KOLKATA RAJARHAT APEX,Billed Wt,Air,3541.0
K16-KOLKATA RAJARHAT APEX,Volume,Ground,5231.0
K16-KOLKATA RAJARHAT APEX,Billed Wt,Ground,61351.0
K26-KOLKATA INTERNATIONAL APEX,Volume,Air,0.0
K26-KOLKATA INTERNATIONAL APEX,Billed Wt,Air,0.0
K26-KOLKATA INTERNATIONAL APEX,Volume,Ground,40.0
K26-KOLKATA INTERNATIONAL APEX,Billed Wt,Ground,353.0
K28-BY-PASS BRANCH,Volume,Air,2261.0
K28-BY-PASS BRANCH,Billed Wt,Air,6557.0
K28-BY-PASS BRANCH,Volume,Ground,19434.0
K28-BY-PASS BRANCH,Billed Wt,Ground,256077.0
K39-LAKE VIEW BRANCH,Volume,Air,14928.0
K39-LAKE VIEW BRANCH,Billed Wt,Air,19268.0
K39-LAKE VIEW BRANCH,Volume,Ground,40488.0
K39-LAKE VIEW BRANCH,Billed Wt,Ground,24618.0
K65-KOLKATA HP APEX,Volume,Air,615.0
K65-KOLKATA HP APEX,Billed Wt,Air,1596.0
K65-KOLKATA HP APEX,Volume,Ground,1789.0
K65-KOLKATA HP APEX,Billed Wt,Ground,4051.0
K68-SALT LAKE BRANCH,Volume,Air,9870.0
K68-SALT LAKE BRANCH,Billed Wt,Air,12087.0
K68-SALT LAKE BRANCH,Volume,Ground,27061.0
K68-SALT LAKE BRANCH,Billed Wt,Ground,35098.0
K75-GARIA BRANCH,Volume,Air,18136.0
K75-GARIA BRANCH,Billed Wt,Air,10935.0
K75-GARIA BRANCH,Volume,Ground,33564.0
K75-GARIA BRANCH,Billed Wt,Ground,61805.0
K88-CAMAC STREET BRANCH,Volume,Air,13102.0
K88-CAMAC STREET BRANCH,Billed Wt,Air,14280.0
K88-CAMAC STREET BRANCH,Volume,Ground,29377.0
K88-CAMAC STREET BRANCH,Billed Wt,Ground,20288.0
K03-KRISHNANAGAR BRANCH,Volume,Air,633.0
K03-KRISHNANAGAR BRANCH,Billed Wt,Air,741.0
K03-KRISHNANAGAR BRANCH,Volume,Ground,5121.0
K03-KRISHNANAGAR BRANCH,Billed Wt,Ground,8304.0
K23-MALDA BRANCH,Volume,Air,1740.0
K23-MALDA BRANCH,Billed Wt,Air,909.0
K23-MALDA BRANCH,Volume,Ground,10416.0
K23-MALDA BRANCH,Billed Wt,Ground,24664.0
