des_branch_code,service_type,type,sum
A02,Air Red,Volume,209.16
A02,Air White,Volume,678.52
A02,Ground,Volume,76.52
A03,Air Red,Volume,281.0
A03,Air White,Volume,1161.24
A03,Ground,Volume,321.24
A05,Air Red,Volume,160.68
A05,Air White,Volume,916.0
A05,Ground,Volume,145.48
A07,Air Red,Volume,65.6
A07,Air White,Volume,374.64
A07,Ground,Volume,70.48
A11,Air Red,Volume,246.56
A11,Air White,Volume,1517.32
A11,Ground,Volume,234.24
A16,Air Red,Volume,75.56
A16,Air White,Volume,442.84
A16,Ground,Volume,68.6
A18,Air Red,Volume,92.72
A18,Air White,Volume,401.6
A18,Ground,Volume,109.92
A24,Air Red,Volume,328.64
A24,Air White,Volume,1217.64
A24,Ground,Volume,208.48
A27,Air Red,Volume,35.2
A27,Air White,Volume,144.8
A27,Ground,Volume,44.92
A33,Air Red,Volume,47.88
A33,Air White,Volume,202.4
A33,Ground,Volume,47.12
A36,Air Red,Volume,527.04
A36,Air White,Volume,1735.76
A36,Ground,Volume,237.64
A38,Air Red,Volume,80.72
A38,Air White,Volume,283.96
A38,Ground,Volume,59.48
A44,Air Red,Volume,77.32
A44,Air White,Volume,253.24
A44,Ground,Volume,66.16
A45,Air Red,Volume,16.24
A45,Air White,Volume,62.4
A45,Ground,Volume,16.04
A46,Air Red,Volume,422.08
A46,Air White,Volume,1645.72
A46,Ground,Volume,205.6
A47,Air Red,Volume,30.56
A47,Air White,Volume,119.92
A47,Ground,Volume,36.68
A48,Air Red,Volume,142.88
A48,Air White,Volume,645.4
A48,Ground,Volume,117.12
A49,Air Red,Volume,30.72
A49,Air White,Volume,118.72
A49,Ground,Volume,44.84
A50,Air Red,Volume,48.32
A50,Air White,Volume,268.68
A50,Ground,Volume,78.84
A51,Air Red,Volume,6.36
A51,Air White,Volume,42.28
A51,Ground,Volume,3.28
B01,Air Red,Volume,237.96
B01,Air White,Volume,1220.8
B01,Ground,Volume,232.36
B02,Air Red,Volume,235.76
B02,Air White,Volume,1526.44
B02,Ground,Volume,269.08
B05,Air Red,Volume,96.64
B05,Air White,Volume,532.92
B05,Ground,Volume,114.4
B06,Air Red,Volume,906.4
B06,Air White,Volume,4356.32
B06,Ground,Volume,584.48
B07,Air Red,Volume,538.76
B07,Air White,Volume,2813.8
B07,Ground,Volume,482.68
B08,Air Red,Volume,299.56
B08,Air White,Volume,2131.68
B08,Ground,Volume,294.2
B09,Air Red,Volume,517.6
B09,Air White,Volume,2486.92
B09,Ground,Volume,473.88
B11,Air Red,Volume,480.4
B11,Air White,Volume,1751.44
B11,Ground,Volume,308.96
B13,Air Red,Volume,31.68
B13,Air White,Volume,255.44
B13,Ground,Volume,36.16
B14,Air Red,Volume,108.24
B14,Air White,Volume,616.16
B14,Ground,Volume,103.88
B16,Air Red,Volume,108.72
B16,Air White,Volume,711.56
B16,Ground,Volume,187.48
B18,Air Red,Volume,103.52
B18,Air White,Volume,740.68
B18,Ground,Volume,122.72
B19,Air Red,Volume,81.72
B19,Air White,Volume,723.76
B19,Ground,Volume,116.84
B26,Air Red,Volume,405.4
B26,Air White,Volume,1677.44
B26,Ground,Volume,315.48
B27,Air Red,Volume,95.84
B27,Air White,Volume,636.12
B27,Ground,Volume,124.56
B32,Air Red,Volume,188.6
B32,Air White,Volume,746.6
B32,Ground,Volume,173.16
B35,Air Red,Volume,926.92
B35,Air White,Volume,3572.72
B35,Ground,Volume,748.28
B38,Air Red,Volume,84.08
B38,Air White,Volume,579.48
B38,Ground,Volume,107.4
B39,Air Red,Volume,41.8
B39,Air White,Volume,335.08
B39,Ground,Volume,70.4
B41,Air Red,Volume,34.36
B41,Air White,Volume,268.44
B41,Ground,Volume,57.24
B42,Air Red,Volume,41.12
B42,Air White,Volume,245.2
B42,Ground,Volume,66.92
B43,Air Red,Volume,87.16
B43,Air White,Volume,640.28
B43,Ground,Volume,141.52
B47,Air Red,Volume,45.84
B47,Air White,Volume,388.16
B47,Ground,Volume,82.68
B50,Air Red,Volume,91.32
B50,Air White,Volume,722.12
B50,Ground,Volume,138.0
B51,Air Red,Volume,56.8
B51,Air White,Volume,197.32
B51,Ground,Volume,57.88
B53,Air Red,Volume,100.68
B53,Air White,Volume,518.32
B53,Ground,Volume,102.12
B58,Air Red,Volume,581.08
B58,Air White,Volume,2150.72
B58,Ground,Volume,280.88
B59,Air Red,Volume,598.72
B59,Air White,Volume,2569.76
B59,Ground,Volume,443.48
B61,Air Red,Volume,395.68
B61,Air White,Volume,1867.48
B61,Ground,Volume,342.0
B62,Air Red,Volume,24.32
B62,Air White,Volume,133.36
B62,Ground,Volume,33.4
B63,Air Red,Volume,34.08
B63,Air White,Volume,237.12
B63,Ground,Volume,47.0
B64,Air Red,Volume,46.84
B64,Air White,Volume,215.08
B64,Ground,Volume,34.52
B65,Air Red,Volume,44.56
B65,Air White,Volume,182.04
B65,Ground,Volume,40.32
B68,Air Red,Volume,152.24
B68,Air White,Volume,685.68
B68,Ground,Volume,138.48
B95,Air Red,Volume,25.48
B95,Air White,Volume,211.16
B95,Ground,Volume,50.68
C02,Air Red,Volume,107.6
C02,Air White,Volume,621.92
C02,Ground,Volume,128.28
C08,Air Red,Volume,123.92
C08,Air White,Volume,675.16
C08,Ground,Volume,152.04
C13,Air Red,Volume,420.76
C13,Air White,Volume,1802.68
C13,Ground,Volume,252.76
C14,Air Red,Volume,370.88
C14,Air White,Volume,1499.96
C14,Ground,Volume,176.36
C15,Air Red,Volume,183.68
C15,Air White,Volume,951.76
C15,Ground,Volume,134.92
C22,Air Red,Volume,99.72
C22,Air White,Volume,616.6
C22,Ground,Volume,162.48
C30,Air Red,Volume,175.72
C30,Air White,Volume,690.72
C30,Ground,Volume,139.44
C36,Air Red,Volume,361.28
C36,Air White,Volume,1662.56
C36,Ground,Volume,163.28
C37,Air Red,Volume,248.52
C37,Air White,Volume,1283.6
C37,Ground,Volume,166.88
C38,Air Red,Volume,188.96
C38,Air White,Volume,866.2
C38,Ground,Volume,133.16
C47,Air Red,Volume,344.64
C47,Air White,Volume,1373.8
C47,Ground,Volume,254.48
C48,Air Red,Volume,185.96
C48,Air White,Volume,1253.28
C48,Ground,Volume,155.84
C50,Air Red,Volume,78.76
C50,Air White,Volume,381.0
C50,Ground,Volume,78.56
C53,Air Red,Volume,112.0
C53,Air White,Volume,856.96
C53,Ground,Volume,167.4
C57,Air Red,Volume,65.52
C57,Air White,Volume,321.4
C57,Ground,Volume,72.92
C59,Air Red,Volume,42.76
C59,Air White,Volume,240.48
C59,Ground,Volume,53.72
C60,Air Red,Volume,19.56
C60,Air White,Volume,129.4
C60,Ground,Volume,32.04
C73,Air Red,Volume,24.16
C73,Air White,Volume,136.28
C73,Ground,Volume,31.56
C74,Air Red,Volume,133.2
C74,Air White,Volume,766.04
C74,Ground,Volume,119.96
E02,Air Red,Volume,142.4
E02,Air White,Volume,781.52
E02,Ground,Volume,130.92
E03,Air Red,Volume,113.56
E03,Air White,Volume,797.24
E03,Ground,Volume,139.48
E05,Air Red,Volume,36.8
E05,Air White,Volume,225.84
E05,Ground,Volume,53.12
E06,Air Red,Volume,188.52
E06,Air White,Volume,1068.12
E06,Ground,Volume,235.88
