Region,Type,Sorting_Locations_for_Optimal_Branches,Self_Branches,Sorting_Location_Needed
AMD,Billed Wt,156,20,256
AMD,Volume,50,20,150
BBI,Billed Wt,10,18,106
BLR,Billed Wt,155,35,285
BLR,Volume,63,35,193
CCU,Billed Wt,99,38,235
CCU,Volume,28,38,164
CHE,Billed Wt,83,19,181
CHE,Volume,28,19,126
CJB,Billed Wt,63,13,149
CJB,Volume,24,13,110
COK,Billed Wt,43,21,145
COK,Volume,16,21,118
DDL,Billed Wt,329,29,447
DDL,Volume,247,29,365
GAU,Billed Wt,2,29,120
HHPT,Billed Wt,136,27,250
HHPT,Volume,42,27,156
HYD,Billed Wt,58,20,158
HYD,Volume,21,20,121
IDR,Billed Wt,16,20,116
IDR,Volume,4,20,104
JAI,Billed Wt,97,22,201
JAI,Volume,55,22,159
MUM,Billed Wt,235,25,345
MUM,Volume,116,25,226
NGP,Billed Wt,3,12,87
PAT,Billed Wt,14,25,124
PAT,Volume,2,25,112
PNQ,Billed Wt,105,36,237
PNQ,Volume,26,36,158
UPT,Billed Wt,112,44,260
UPT,Volume,51,44,199
VJA,Billed Wt,30,18,126
VJA,Volume,20,18,116
