zone,region,city,office,name,lat,lon
WEST,AHMEDABAD,AHMEDABAD,A01,AHMEDABAD APEX,23.106556,72.683222
WEST,AHMEDABAD,SURAT,A04,SURAT APEX,21.175874,72.955277
WEST,AHMEDABAD,BARODA,A17,BARODA SCS APEX,22.34587,73.24232
WEST,AHMEDABAD,AHMEDABAD,A19,BAKROL APEX,23.01420376,72.66981554
WEST,AHMEDABAD,SURAT,A21,SURAT SCS APEX,21.18357,72.92481
WEST,AHMEDABAD,AHMEDABAD,A52,AHMEDABAD T/S APEX,23.106556,72.683222
SOUTH,BANGALORE,BANGALORE,B10,BANGALORE YELAHANKA APEX,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B112,SOUTH BANGALORE STORAGE CENTER APEX,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B113,ATTIBELE APEX,12.79177099,77.72562365
SOUTH,BANGALORE,BANGALORE,B117,YELAHANKA T/S APEX,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B15,CORPORATE OFFICE APEX,12.9536792,77.6176248
SOUTH,BANGALORE,BANGALORE,B36,BANGALORE NELAMANGALA APEX,13.06799001,77.45002405
SOUTH,BANGALORE,BANGALORE,B37,BLR DP PROCESSING APEX,13.1066,77.6187
SOUTH,CHENNAI,CHENNAI,C20,VELAPPANCHAVADI APEX,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C42,GUINDY APEX,13.05947836,80.13138739
SOUTH,CHENNAI,CHENNAI,C54,CHENNAI DP PROCESSING CENTRE APEX,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C75,VELAPPANCHAVADI T/S APEX,13.0633359,80.139097
SOUTH,COIMBATORE,COIMBATORE,E01,COIMBATORE INTEGRATED APEX,11.074398,77.112634
SOUTH,COIMBATORE,SALEM,E04,SALEM APEX,11.6476208,78.1225439
SOUTH,COIMBATORE,MADURAI,E08,MADURAI APEX,9.9160699,78.0999871
SOUTH,COIMBATORE,COIMBATORE,E13,COIMBATORE SCS APEX,11.051994,77.075771
SOUTH,COIMBATORE,SALEM,E14,SALEM SCS APEX,11.6476208,78.1225439
SOUTH,COIMBATORE,COIMBATORE,E58,COIMBATORE T/S APEX,11.017391,76.98321
SOUTH,HYDERABAD,HYDERABAD,H13,HYDERABAD SHAMSHABAD APEX,17.25955818,78.37652436
SOUTH,HYDERABAD,HYDERABAD,H64,TELANGANA T/S APEX,17.25955818,78.37652436
SOUTH,HYDERABAD,SECUNDRABAD,H66,HYDERABAD SCS APEX,17.5429966,78.4879812
SOUTH,HYDERABAD,HYDERABAD,H90,MEDCHAL APEX,17.5429966,78.4879812
WEST,INDORE REGIONAL OFFICE,INDORE,I01,INDORE APEX,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,INDORE,I04,INDORE T/S APEX,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,BHOPAL,I10,BHOPAL T/S APEX,23.27432761,77.43983616
WEST,INDORE REGIONAL OFFICE,INDORE,I24,INDORE SURFACE APEX,22.816102,75.939382
NORTH,HHPT REGIONAL OFFICE,AMBALA,J10,AMBALA APEX,30.403561,76.787836
NORTH,HHPT REGIONAL OFFICE,CHANDIGARH,J29,PANCHKULA APEX,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,CHANDIGARH,J30,CHANDIGARH SCS APEX,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,BADDI,J33,BADDI SCS APEX,30.9279878,76.7966137
NORTH,HHPT REGIONAL OFFICE,PANCHKULA,J55,PANCHKULA T/S APEX,30.667815,76.837394
EAST,KOLKATA,HOWRAH,K128,EAST KOLKATA KONA STORAGE CENTER APEX,22.61790235,88.27881141
EAST,KOLKATA,DURGAPUR,K136,ANDAL AIR APEX,23.49828,87.32783
