zone,region,city,office,name,lat,lon
WEST,AHMEDABAD,AHMEDABAD,A01,AHMEDABAD APEX,23.106556,72.683222
WEST,AHMEDABAD,BARODA,A02,BARODA BRANCH,22.33424307,73.16552617
WEST,AHMEDABAD,RAJKOT,A03,RAJKOT BRANCH,22.27983403,70.79548111
WEST,AHMEDABAD,SURAT,A04,SURAT APEX,21.175874,72.955277
WEST,AHMEDABAD,VAPI,A05,VAPI BRANCH,20.36025,72.9179
WEST,AHMEDABAD,ANKLESHWAR,A07,ANKLESHWAR BRANCH,21.611786,73.0201776
WEST,AHMEDABAD,AHMEDABAD,A11,KHOKHRA BRANCH,23.00743692,72.61368813
WEST,AHMEDABAD,KUTCH,A16,KUTCH DDLP SUPER FRANCHISE,23.067835,70.139366
WEST,AHMEDABAD,BARODA,A17,BARODA SCS APEX,22.34587,73.24232
WEST,AHMEDABAD,MEHSANA,A18,MEHSANA SERVICE CENTER,23.593081,72.350821
WEST,AHMEDABAD,AHMEDABAD,A19,BAKROL APEX,23.01420376,72.66981554
WEST,AHMEDABAD,SURAT,A21,SURAT SCS APEX,21.18357,72.92481
WEST,AHMEDABAD,AHMEDABAD,A24,AHMEDABAD BRANCH,23.0331,72.5689
WEST,AHMEDABAD,BHAVNAGAR,A27,BHAVNAGAR SORTING OFFICE,21.7579734,72.1483693
WEST,AHMEDABAD,JAMNAGAR,A33,JAMNAGAR BRANCH,22.474815,70.067623
WEST,AHMEDABAD,AHMEDABAD,A36,AHMEDABAD WEST BRANCH,23.0749203,72.5213679
WEST,AHMEDABAD,GANDHINAGAR,A38,GANDHINAGAR BRANCH,23.25521,72.632783
WEST,AHMEDABAD,ANAND,A44,ANAND BRANCH,22.544634,72.952506
WEST,AHMEDABAD,SURENDRANAGAR,A45,SURENDRANAGAR BRANCH,22.72493337,71.63302204
WEST,AHMEDABAD,SURAT,A46,SURAT CITY BRANCH,21.209618,72.837093
WEST,AHMEDABAD,BHUJ,A47,BHUJ SUPER FRANCHISEE,23.2461714,69.6742626
WEST,AHMEDABAD,AHMEDABAD,A48,CHILODA BRANCH,23.106326,72.683018
WEST,AHMEDABAD,HALOL,A49,HALOL BRANCH,22.3459576,73.2425377
WEST,AHMEDABAD,SANAND,A50,SANAND SERVICE CENTER,23.012625,72.336963
WEST,AHMEDABAD,DAHEJ,A51,DAHEJ SORTING OFFICE,21.7144276,72.6271475
WEST,AHMEDABAD,AHMEDABAD,A52,AHMEDABAD T/S APEX,23.106556,72.683222
WEST,AHMEDABAD,AHMEDABAD,A53,AHMEDABAD AIRPORT,23.106556,72.683222
WEST,AHMEDABAD,SURAT,A54,SURAT AIRPORT,21.175874,72.955277
WEST,AHMEDABAD,SURAT,A55,PANDESARA BRANCH,21.149082,72.851499
SOUTH,BANGALORE,MANGALORE,B01,MANGALORE SUPER FRANCHISEE,12.88889313,74.82789612
SOUTH,BANGALORE,MYSORE,B02,MYSORE BRANCH,12.2854657,76.6129104
SOUTH,BANGALORE,HUBLI,B03,HUBLI BRANCH,15.356049,75.130127
SOUTH,BANGALORE,GULBARGA,B05,GULBARGA SUPER FRANCHISEE,17.362246,76.824072
SOUTH,BANGALORE,BANGALORE,B06,BOMMANAHALLI BRANCH,12.89117,77.642539
SOUTH,BANGALORE,BANGALORE,B07,CHAMRAJPET BRANCH,12.96043469,77.56498796
SOUTH,BANGALORE,BANGALORE,B08,PEENYA BRANCH,13.02106784,77.52206709
SOUTH,BANGALORE,BANGALORE,B09,RAJAJINAGAR BRANCH,12.9819403,77.54759633
SOUTH,BANGALORE,BANGALORE,B10,BANGALORE YELAHANKA APEX,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B11,HENNUR BRANCH,13.02813674,77.63153566
SOUTH,BANGALORE,BANGALORE,B112,SOUTH BANGALORE STORAGE CENTER APEX,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B113,ATTIBELE APEX,12.79177099,77.72562365
SOUTH,BANGALORE,BANGALORE,B114,DTDC TECHNOLOGY INNOVATION CENTRE-2,12.9416,77.61718
SOUTH,BANGALORE,BANGALORE,B115,KAMBIPURA IGSP BRANCH,12.96142,77.568874
SOUTH,BANGALORE,BANGALORE,B116,MALLESHWARAM IGSP BRANCH,13.001676,77.571476
SOUTH,BANGALORE,BANGALORE,B117,YELAHANKA T/S APEX,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B118,BANGALORE STATIONERY BRANCH,13.1052,77.6178
SOUTH,BANGALORE,BANGALORE,B119,BANGALORE AIRPORT,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B120,RAJAJESHWARINAGAR BRANCH,12.939009,77.516769
SOUTH,BANGALORE,CHITRADURGA,B13,CHITRADURGA SORTING OFFICE,14.2370526,76.4123577
SOUTH,BANGALORE,BANGALORE,B14,DEVANAHALLI SERVICE CENTER,13.24606,77.70554
SOUTH,BANGALORE,BANGALORE,B15,CORPORATE OFFICE APEX,12.9536792,77.6176248
SOUTH,BANGALORE,BELGAUM,B16,BELGAUM SUPER FRANCHISEE,15.85338,74.506649
SOUTH,BANGALORE,HASSAN,B18,HASSAN BRANCH,12.99714,76.102602
SOUTH,BANGALORE,HOSPET,B19,HOSPET SUPER FRANCHISEE,15.26073647,76.37518311
SOUTH,BANGALORE,BANGALORE,B24,BANGALORE INTERNATIONAL BRANCH,13.1066,77.6187
SOUTH,BANGALORE,BANGALORE,B26,KOGILU BRANCH,13.1052,77.6178
SOUTH,BANGALORE,HOSUR,B27,HOSUR BRANCH,12.75013404,77.7943002
SOUTH,BANGALORE,PANJIM,B32,GOA PANJIM BRANCH,15.488056,73.856111
SOUTH,BANGALORE,BANGALORE,B34,CORPORATE STORES - SIRSI CIRCLE BRANCH,12.9621,77.5584
SOUTH,BANGALORE,BANGALORE,B35,WHITE FIELD BRANCH,12.989308,77.695614
SOUTH,BANGALORE,BANGALORE,B36,BANGALORE NELAMANGALA APEX,13.06799001,77.45002405
SOUTH,BANGALORE,BANGALORE,B37,BLR DP PROCESSING APEX,13.1066,77.6187
SOUTH,BANGALORE,SHIMOGA,B38,SHIMOGA SORTING OFFICE,13.93981918,75.53812224
SOUTH,BANGALORE,SIRSI,B39,SIRSI BRANCH OFFICE,14.609508,74.843485
SOUTH,BANGALORE,BAGALKOT,B41,BAGALKOT SORTING OFFICE,16.1861287,75.7006506
SOUTH,BANGALORE,BIJAPUR,B42,BIJAPUR SORTING OFFICE,16.83458328,75.71536255
SOUTH,BANGALORE,TUMKUR,B43,TUMKUR SORTING OFFICE,13.34813135,77.10770009
SOUTH,BANGALORE,BANGALORE,B44,BANGALORE AIRPORT BRANCH,12.95917606,77.65560512
SOUTH,BANGALORE,BELLARY,B47,BELLARY SORTING OFFICE,15.15456465,76.93430121
SOUTH,BANGALORE,DAVANGERE,B50,DAVANGERE BRANCH,14.45819985,75.93869766
SOUTH,BANGALORE,MARGAO,B51,MARGAO BRANCH,15.28476,73.979993
SOUTH,BANGALORE,UDUPI,B53,UDUPI NODAL POINT,13.341759,74.759844
SOUTH,BANGALORE,BANGALORE,B58,DOMLUR BRANCH,12.95462894,77.64167023
SOUTH,BANGALORE,BANGALORE,B59,SARAKKI BRANCH,12.910815,77.578157
SOUTH,BANGALORE,BANGALORE,B61,NERALURU BRANCH,12.79177099,77.72562365
SOUTH,BANGALORE,BIDAR,B62,BIDAR SORTING OFFICE,17.9214888,77.5081307
SOUTH,BANGALORE,RAICHUR,B63,RAICHUR SORTING OFFICE,16.216917,77.35775
SOUTH,BANGALORE,CHICKAMAGALUR,B64,CHIKMAGALUR BRANCH,13.30763626,75.79417419
SOUTH,BANGALORE,SALCETE,B65,VERNA BRANCH,15.373485,73.92967
SOUTH,BANGALORE,BANGALORE,B68,HOSKOTE BRANCH,13.0771846,77.80560124
SOUTH,BANGALORE,MANDYA,B95,MANDYA NODAL POINT,12.525561,76.887468
SOUTH,CHENNAI,PONDICHERRY,C02,PONDICHERRY BRANCH,11.946191,79.777866
SOUTH,CHENNAI,KATPADI,C08,KATPADI BRANCH,12.93120167,79.13423333
SOUTH,CHENNAI,CHENNAI,C13,GUINDY BRANCH,13.01608,80.21167
SOUTH,CHENNAI,CHENNAI,C14,AMINJIKARAI BRANCH,13.069909,80.222846
SOUTH,CHENNAI,CHENNAI,C15,PARRYS BRANCH,13.09632,80.29147
SOUTH,CHENNAI,CHENNAI,C20,VELAPPANCHAVADI APEX,13.0633359,80.139097
SOUTH,CHENNAI,VILLUPURAM - TN,C22,VILLUPURAM BRANCH,11.9280556,79.48025
SOUTH,CHENNAI,CHENNAI,C30,TAMBARAM MASTER FRANCHISEE,12.9256,80.10312
SOUTH,CHENNAI,CHENNAI,C35,CHENNAI INTERNATIONAL BRANCH,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C36,ELDAMS ROAD BRANCH,13.03911,80.25107
SOUTH,CHENNAI,CHENNAI,C37,AMBATTUR BRANCH,13.09959,80.17181
SOUTH,CHENNAI,CHENNAI,C38,PORUR BRANCH,13.03247784,80.15710585
SOUTH,CHENNAI,CHENNAI,C41,GEC CHENNAI,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C42,GUINDY APEX,13.05947836,80.13138739
SOUTH,CHENNAI,CHENNAI,C47,PALLIKKARANAI MASTER FRANCHISEE,12.94225,80.20616667
SOUTH,CHENNAI,CHENNAI,C48,MADHAVARAM BRANCH,13.15025,80.22126
SOUTH,CHENNAI,CHENNAI,C50,SRM - POTHERI SUPER FRANCHISEE,12.82974,80.04505
SOUTH,CHENNAI,THANDALAM,C53,SREEPERUMBADHUR BRANCH,12.968381,79.953607
SOUTH,CHENNAI,CHENNAI,C54,CHENNAI DP PROCESSING CENTRE APEX,13.0633359,80.139097
SOUTH,CHENNAI,CHENGALPATTU,C57,CHENGALPET BRANCH,12.69987,79.96918
SOUTH,CHENNAI,KANCHIPURAM,C59,KANCHEEPURAM BRANCH,12.83647045,79.7125383
SOUTH,CHENNAI,SRICITY,C60,SRI CITY BRANCH,13.57028,80.03544
SOUTH,CHENNAI,CHENNAI,C73,GUMMIDIPOONDI BRANCH,13.40894,80.12071
SOUTH,CHENNAI,CHENNAI,C74,THIRUVERKADU BRANCH,13.0630475,80.1391284
SOUTH,CHENNAI,CHENNAI,C75,VELAPPANCHAVADI T/S APEX,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C76,VELAPPANCHAVADI AIRPORT,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C77,IP DISPATCH CHENNAI BRANCH,13.063334,80.138879
SOUTH,COIMBATORE,COIMBATORE,E01,COIMBATORE INTEGRATED APEX,11.074398,77.112634
SOUTH,COIMBATORE,TIRUPUR,E02,TIRUPUR BRANCH,11.10782426,77.32839594
SOUTH,COIMBATORE,ERODE,E03,ERODE BRANCH,11.345784,77.640083
SOUTH,COIMBATORE,SALEM,E04,SALEM APEX,11.6476208,78.1225439
SOUTH,COIMBATORE,KARUR,E05,KARUR BRANCH,10.962204,78.060505
SOUTH,COIMBATORE,TRICHY,E06,TRICHY BRANCH,10.80083672,78.70687294
SOUTH,COIMBATORE,DINDIGUL,E07,DINDIGUL BRANCH,10.36984208,77.95070109
SOUTH,COIMBATORE,MADURAI,E08,MADURAI APEX,9.9160699,78.0999871
SOUTH,COIMBATORE,TIRUNELVELI,E09,TIRUNELVELI BRANCH,8.723193292,77.72106845
SOUTH,COIMBATORE,TUTICORIN,E10,TUTICORIN BRANCH,8.807496667,78.14142833
SOUTH,COIMBATORE,NAGERCOIL,E11,NAGERCOILBRANCH,8.193834,77.442241
SOUTH,COIMBATORE,COIMBATORE,E13,COIMBATORE SCS APEX,11.051994,77.075771
SOUTH,COIMBATORE,SALEM,E14,SALEM SCS APEX,11.6476208,78.1225439
SOUTH,COIMBATORE,KRISHNAGIRI,E16,KRISHNAGIRI BRANCH,12.52387243,78.21039917
SOUTH,COIMBATORE,SIVAKASI,E20,SIVAKASI BRANCH,9.46405,77.79675
SOUTH,COIMBATORE,COIMBATORE,E21,COIMBATORE CITY BRANCH,11.02051,76.98313
SOUTH,COIMBATORE,THANJAVUR,E23,THANJAVUR BRANCH,10.7784691,79.1668871
SOUTH,COIMBATORE,THENI,E24,THENI BRANCH,10.008256,77.478499
SOUTH,COIMBATORE,TIRUPUR,E57,TIRUPUR SCS BRANCH,11.15889,77.38861
SOUTH,COIMBATORE,COIMBATORE,E58,COIMBATORE T/S APEX,11.017391,76.98321
SOUTH,COIMBATORE,COIMBATORE,E59,COIMBATORE AIRPORT,11.017391,76.98321
SOUTH,HYDERABAD,HYDERABAD,H07,BASHEERBAGH BRANCH,17.4067876,78.4778127
SOUTH,HYDERABAD,HYDERABAD,H08,BANJARAHILLS MASTER FRANCHISEE,17.4281551,78.4182351
SOUTH,HYDERABAD,HYDERABAD,H09,BALANAGAR BRANCH,17.47813,78.426128
SOUTH,HYDERABAD,HYDERABAD,H10,BEGUMPET BRANCH,17.4451241,78.4626917
SOUTH,HYDERABAD,HYDERABAD,H106,HYDERABAD AIRPORT,17.25955818,78.37652436
SOUTH,HYDERABAD,HYDERABAD,H11,KARMANGHAT BRANCH,17.3388089,78.53665725
SOUTH,HYDERABAD,HYDERABAD,H13,HYDERABAD SHAMSHABAD APEX,17.25955818,78.37652436
SOUTH,HYDERABAD,WARANGAL,H17,WARANGAL SUPER FRANCHISEE,17.9785298,79.6068373
SOUTH,HYDERABAD,KARIMNAGAR,H37,KARIMNAGAR SUPER FRANCHISEE,18.413139,79.135861
SOUTH,HYDERABAD,MAHABUBNAGAR,H42,MAHABUBNAGAR SUPER FRANCHISEE,16.767417,78.124722
SOUTH,HYDERABAD,HYDERABAD,H48,ANANDBAGH BRANCH,17.459601,78.557657
SOUTH,HYDERABAD,NIZAMABAD,H53,NIZAMABAD SUPER FRANCHISEE,18.681137,78.095917
SOUTH,HYDERABAD,HYDERABAD,H64,TELANGANA T/S APEX,17.25955818,78.37652436
SOUTH,HYDERABAD,SECUNDRABAD,H66,HYDERABAD SCS APEX,17.5429966,78.4879812
SOUTH,HYDERABAD,HYDERABAD,H70,GACHIBOWLI MASTER FRANCHISEE,17.41879663,78.38070337
SOUTH,HYDERABAD,HYDERABAD,H71,MEHDIPATNAM MASTER FRANCHISEE,17.388393,78.429516
SOUTH,HYDERABAD,HYDERABAD,H74,BOWENPALLY BRANCH,17.4896187,78.4822783
SOUTH,HYDERABAD,HYDERABAD,H75,BACHUPALLY NIZAMPET ROAD BRANCH,17.537887,78.363998
SOUTH,HYDERABAD,HYDERABAD,H79,NAGOLE PRACEL BRANCH,17.38219998,78.56766162
SOUTH,HYDERABAD,HYDERABAD,H80,CHANDANAGAR BRANCH,17.49883763,78.31574381
SOUTH,HYDERABAD,HYDERABAD,H90,MEDCHAL APEX,17.5429966,78.4879812
SOUTH,HYDERABAD,KHAMMAM,H91,KHAMMAM BRANCH,17.24848457,80.12996734
SOUTH,HYDERABAD,SURYAPET,H92,SURYAPET BRANCH,17.152417,79.621611
SOUTH,HYDERABAD,RANGAREDDY,H96,SHAMSHABAD BRANCH,17.25955818,78.37652436
SOUTH,HYDERABAD,MANCHERIAL,H98,MANCHERIAL SUPER FRANCHISEE,18.865111,79.45775
WEST,INDORE REGIONAL OFFICE,INDORE,I01,INDORE APEX,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,BHOPAL,I02,BHOPAL BRANCH,23.27432761,77.43983616
WEST,INDORE REGIONAL OFFICE,PITAMPUR,I03,PITHAMPUR SUB BRANCH,22.5950692,75.696276
WEST,INDORE REGIONAL OFFICE,INDORE,I04,INDORE T/S APEX,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,RATLAM,I07,RATLAM SORTING OFFICE,23.32854373,75.0364079
WEST,INDORE REGIONAL OFFICE,JABALPUR,I08,JABALPUR BRANCH,23.2019213,79.885772
WEST,INDORE REGIONAL OFFICE,BHOPAL,I10,BHOPAL T/S APEX,23.27432761,77.43983616
