Region,Service_Type,Type,Optimal_Num_Branches,Optimal_Cumulative_Percentage,Branches
AMD,Air Red,Billed Wt,43,38.975961029333945,"H71, K05, H70, J02, I08, K07, B32, K08, B11, B07, K28, L04, S04, U30, B35, Q06, J01, V58, B09, H80, N37, U10, B06, U139, V08, B58, H79, B59, M01, U06, M02, H08, H74, N33, T13, C74, H09, J03, C48, N03, N17, C13, E21"
AMD,Air Red,Volume,27,24.148383702042985,"H70, B35, B06, V58, H80, B59, L04, V08, H09, O12, P24, B07, H11, P04, N11, B09, H79, O02, L02, M01, B11, J03, E21, N17, H08, Q01, H71"
AMD,Air White,Billed Wt,110,56.63972178276215,"H70, V58, B35, H80, V08, K28, B07, P04, H79, B59, H09, K05, B06, H11, H71, V05, B09, L04, P19, K74, E21, B61, N17, N11, H08, K81, M47, O02, U03, C47, J03, H48, M01, B08, O04, K06, X22, K07, W52, S04, B11, O12, O05, B02, B27, W02, C38, H74, V09, M61, E06, P15, P24, P27, P12, J01, Q06, B01, N32, S02, C15, C13, C48, V04, M07, H75, V01, V16, H96, M05, T03, X17, N35, O13, H17, U06, V13, U10, O07, I46, H07, M08, K75, N02, C22, B26, V10, N38, K32, Q07, M39, N03, J13, J05, P22, S01, C37, C08, C74, U09, B58, O09, V57, C30, U48, H37, N37, R32, M46, T10"
AMD,Air White,Volume,80,47.31209745301854,"H70, B35, V58, P04, H80, V08, H79, H09, B59, B06, H11, B07, P19, B09, M47, V05, M01, H48, H71, B61, H08, E21, N11, B11, O04, U03, M07, H74, O02, J03, K05, C47, P27, P12, P24, N17, P15, O05, H07, B02, B08, B26, L04, H75, R32, K81, V09, O12, M61, M05, P22, V04, K06, Q04, V10, B01, M08, C13, E06, V01, K74, M46, O13, V16, X22, B58, I42, H17, K07, M39, S04, H91, S02, V57, N02, W02, K75, I46, Q06, V13"
AMD,Ground,Billed Wt,89,50.098011833829844,"L23, N35, P04, P19, H71, S04, L04, Q06, K28, H70, B61, U03, Q02, M47, K05, M01, B59, R32, K07, B09, B06, O04, M39, B07, N38, W02, B35, W52, I46, V58, M35, T10, O02, Q04, M04, M05, J03, P50, S02, B11, B58, M08, P15, B01, P09, V16, M46, B08, M07, U139, P22, I08, C22, O12, U06, H79, K06, I02, O05, C53, N32, E21, E06, N17, P11, M02, K81, M63, U09, W07, X22, U07, P06, N31, K75, P12, B02, J13, U10, X25, H80, J01, H09, N37, C48, M61, R11, C15, P24"
AMD,Ground,Volume,2,2.2739264805648394,"S04, P04"
BBI,Air Red,Billed Wt,1,7.414042582512234,L04
BBI,Air Red,Volume,1,6.2856385094814975,L04
BBI,Air White,Billed Wt,3,7.8822374877330725,"B06, L04, B35"
BBI,Air White,Volume,2,5.4634857038790745,"B35, B06"
