org_branch_code,service_type,type,sum
A02,Air Red,Volume,39.04
A02,Air Red,Billed Wt,71.2
A02,Air White,Volume,274.32
A02,Air White,Billed Wt,467.8
A02,Ground,Volume,81.04
A02,Ground,Billed Wt,802.52
A03,Air Red,Volume,172.0
A03,Air Red,Billed Wt,346.72
A03,Air White,Volume,1794.88
A03,Air White,Billed Wt,4502.72
A03,Ground,Volume,131.72
A03,Ground,Billed Wt,969.32
A05,Air Red,Volume,58.84
A05,Air Red,Billed Wt,98.32
A05,Air White,Volume,270.28
A05,Air White,Billed Wt,662.24
A05,Ground,Volume,87.28
A05,Ground,Billed Wt,900.0
A07,Air Red,Volume,2.4
A07,Air Red,Billed Wt,7.44
A07,Air White,Volume,52.04
A07,Air White,Billed Wt,92.56
A07,Ground,Volume,41.8
A07,Ground,Billed Wt,346.28
A11,Air Red,Volume,273.96
A11,Air Red,Billed Wt,287.48
A11,Air White,Volume,877.4
A11,Air White,Billed Wt,1546.4
A11,Ground,Volume,232.0
A11,Ground,Billed Wt,3048.04
A16,Air Red,Volume,7.44
A16,Air Red,Billed Wt,15.28
A16,Air White,Volume,40.68
A16,Air White,Billed Wt,68.04
A16,Ground,Volume,42.92
A16,Ground,Billed Wt,177.04
A18,Air Red,Volume,19.32
A18,Air Red,Billed Wt,29.92
A18,Air White,Volume,279.36
A18,Air White,Billed Wt,454.32
A18,Ground,Volume,50.0
A18,Ground,Billed Wt,569.08
A24,Air Red,Volume,325.0
A24,Air Red,Billed Wt,257.08
A24,Air White,Volume,687.12
A24,Air White,Billed Wt,900.68
A24,Ground,Volume,130.92
A24,Ground,Billed Wt,1086.48
A27,Air Red,Volume,12.04
A27,Air Red,Billed Wt,22.04
A27,Air White,Volume,20.44
A27,Air White,Billed Wt,82.08
A27,Ground,Volume,11.84
A27,Ground,Billed Wt,105.52
A33,Air Red,Volume,22.0
A33,Air Red,Billed Wt,11.72
A33,Air White,Volume,67.32
A33,Air White,Billed Wt,103.76
A33,Ground,Volume,6.6
A33,Ground,Billed Wt,58.16
A36,Air Red,Volume,184.52
A36,Air Red,Billed Wt,409.4
A36,Air White,Volume,624.68
A36,Air White,Billed Wt,1421.28
A36,Ground,Volume,218.28
A36,Ground,Billed Wt,2206.56
A38,Air Red,Volume,105.68
A38,Air Red,Billed Wt,107.6
A38,Air White,Volume,125.44
A38,Air White,Billed Wt,232.04
A38,Ground,Volume,71.76
A38,Ground,Billed Wt,711.0
A44,Air Red,Volume,54.16
A44,Air Red,Billed Wt,129.8
A44,Air White,Volume,140.56
A44,Air White,Billed Wt,230.56
A44,Ground,Volume,25.4
A44,Ground,Billed Wt,277.52
A45,Air Red,Volume,2.64
A45,Air Red,Billed Wt,3.36
A45,Air White,Volume,21.68
A45,Air White,Billed Wt,105.48
A45,Ground,Volume,11.76
A45,Ground,Billed Wt,60.44
A46,Air Red,Volume,2077.28
A46,Air Red,Billed Wt,2927.52
A46,Air White,Volume,3176.64
A46,Air White,Billed Wt,5873.56
A46,Ground,Volume,153.84
A46,Ground,Billed Wt,1536.16
A47,Air Red,Volume,40.0
A47,Air Red,Billed Wt,123.68
A47,Air White,Volume,68.76
A47,Air White,Billed Wt,70.36
A47,Ground,Volume,132.44
A47,Ground,Billed Wt,715.28
A48,Air Red,Volume,294.44
A48,Air Red,Billed Wt,2205.0
A48,Air White,Volume,412.0
A48,Air White,Billed Wt,686.48
A48,Ground,Volume,276.12
A48,Ground,Billed Wt,3254.52
A49,Air White,Volume,0.12
A49,Air White,Billed Wt,0.04
A50,Air Red,Volume,15.92
A50,Air Red,Billed Wt,62.72
A50,Air White,Volume,34.72
A50,Air White,Billed Wt,97.48
A50,Ground,Volume,18.84
A50,Ground,Billed Wt,151.48
A51,Air White,Volume,0.04
A51,Air White,Billed Wt,0.08
A51,Ground,Volume,0.0
A51,Ground,Billed Wt,0.0
B01,Air Red,Volume,25.4
B01,Air Red,Billed Wt,33.16
B01,Air White,Volume,220.36
B01,Air White,Billed Wt,280.48
B01,Ground,Volume,46.96
B01,Ground,Billed Wt,573.96
B02,Air Red,Volume,76.76
B02,Air Red,Billed Wt,104.96
B02,Air White,Volume,1072.04
B02,Air White,Billed Wt,1305.76
B02,Ground,Volume,143.48
B02,Ground,Billed Wt,2014.08
B05,Air Red,Volume,4.96
B05,Air Red,Billed Wt,11.76
B05,Air White,Volume,116.6
B05,Air White,Billed Wt,146.28
B05,Ground,Volume,44.08
B05,Ground,Billed Wt,384.12
B06,Air Red,Volume,866.2
B06,Air Red,Billed Wt,950.12
B06,Air White,Volume,1249.8
B06,Air White,Billed Wt,2216.64
B06,Ground,Volume,303.28
B06,Ground,Billed Wt,2490.92
B07,Air Red,Volume,250.36
B07,Air Red,Billed Wt,430.32
B07,Air White,Volume,1621.16
B07,Air White,Billed Wt,2961.56
B07,Ground,Volume,356.92
B07,Ground,Billed Wt,3449.0
B08,Air Red,Volume,223.0
B08,Air Red,Billed Wt,516.72
B08,Air White,Volume,1211.64
B08,Air White,Billed Wt,2387.16
B08,Ground,Volume,332.36
B08,Ground,Billed Wt,3369.16
B09,Air Red,Volume,173.92
B09,Air Red,Billed Wt,380.0
B09,Air White,Volume,1186.28
B09,Air White,Billed Wt,1599.2
B09,Ground,Volume,192.6
B09,Ground,Billed Wt,1930.0
B11,Air Red,Volume,324.52
B11,Air Red,Billed Wt,502.72
B11,Air White,Volume,789.64
B11,Air White,Billed Wt,1843.56
B11,Ground,Volume,645.72
B11,Ground,Billed Wt,2202.28
B13,Air Red,Volume,3.96
B13,Air Red,Billed Wt,2.56
B13,Air White,Volume,177.24
B13,Air White,Billed Wt,212.2
B13,Ground,Volume,10.88
B13,Ground,Billed Wt,96.44
B14,Air Red,Volume,5.08
B14,Air Red,Billed Wt,9.96
B14,Air White,Volume,31.88
B14,Air White,Billed Wt,59.44
B14,Ground,Volume,6.64
B14,Ground,Billed Wt,83.36
B16,Air Red,Volume,19.44
B16,Air Red,Billed Wt,24.68
B16,Air White,Volume,367.04
B16,Air White,Billed Wt,362.64
B16,Ground,Volume,56.12
B16,Ground,Billed Wt,664.88
B18,Air Red,Volume,7.44
B18,Air Red,Billed Wt,14.56
B18,Air White,Volume,609.88
B18,Air White,Billed Wt,603.36
B18,Ground,Volume,60.44
B18,Ground,Billed Wt,870.6
B19,Air Red,Volume,8.2
B19,Air Red,Billed Wt,13.76
B19,Air White,Volume,112.4
B19,Air White,Billed Wt,233.68
B19,Ground,Volume,24.24
B19,Ground,Billed Wt,240.32
B26,Air Red,Volume,220.6
B26,Air Red,Billed Wt,469.52
B26,Air White,Volume,619.0
B26,Air White,Billed Wt,1225.28
B26,Ground,Volume,152.4
B26,Ground,Billed Wt,2993.44
B27,Air Red,Volume,9.44
B27,Air Red,Billed Wt,46.96
B27,Air White,Volume,259.24
B27,Air White,Billed Wt,1239.76
B27,Ground,Volume,122.24
B27,Ground,Billed Wt,1892.24
B32,Air Red,Volume,22.16
B32,Air Red,Billed Wt,72.96
B32,Air White,Volume,99.88
B32,Air White,Billed Wt,130.04
B32,Ground,Volume,30.48
B32,Ground,Billed Wt,294.44
B35,Air Red,Volume,412.08
B35,Air Red,Billed Wt,833.04
B35,Air White,Volume,1332.44
B35,Air White,Billed Wt,1660.08
B35,Ground,Volume,502.84
B35,Ground,Billed Wt,2408.84
B38,Air Red,Volume,3.8
B38,Air Red,Billed Wt,4.2
B38,Air White,Volume,117.08
B38,Air White,Billed Wt,145.64
B38,Ground,Volume,17.44
B38,Ground,Billed Wt,168.0
B39,Air Red,Volume,1.32
B39,Air Red,Billed Wt,6.44
B39,Air White,Volume,118.24
B39,Air White,Billed Wt,115.2
B39,Ground,Volume,15.84
B39,Ground,Billed Wt,181.88
B41,Air Red,Volume,0.72
B41,Air Red,Billed Wt,0.72
B41,Air White,Volume,43.6
B41,Air White,Billed Wt,64.72
B41,Ground,Volume,6.24
B41,Ground,Billed Wt,55.72
B42,Air Red,Volume,5.68
B42,Air Red,Billed Wt,7.8
B42,Air White,Volume,76.24
B42,Air White,Billed Wt,100.76
B42,Ground,Volume,21.04
B42,Ground,Billed Wt,188.6
B43,Air Red,Volume,11.44
B43,Air Red,Billed Wt,45.52
B43,Air White,Volume,295.52
B43,Air White,Billed Wt,378.48
B43,Ground,Volume,97.24
B43,Ground,Billed Wt,847.96
B47,Air Red,Volume,2.88
B47,Air Red,Billed Wt,2.52
B47,Air White,Volume,106.68
B47,Air White,Billed Wt,131.2
B47,Ground,Volume,15.24
B47,Ground,Billed Wt,185.08
B50,Air Red,Volume,5.6
B50,Air Red,Billed Wt,10.88
B50,Air White,Volume,350.24
B50,Air White,Billed Wt,458.4
B50,Ground,Volume,122.72
B50,Ground,Billed Wt,1388.76
B51,Air Red,Volume,6.4
B51,Air Red,Billed Wt,17.76
B51,Air White,Volume,380.68
B51,Air White,Billed Wt,465.8
