Type,Origin_Region,Destination_Region,Total_Flow_Units,Optimal_Flow_Units,Non_Optimal_Flow_Units,Optimal_Flow_Percentage,Non_Optimal_Flow_Percentage
Billed Wt,AMD,AMD,0.0,0.0,0.0,0.0,0.0
Billed Wt,AMD,BBI,1013.2400000000001,349.79999999999995,663.4400000000002,34.52,65.48
Billed Wt,AMD,BLR,4397.600000000001,2605.16,1792.44,59.24,40.76
Billed Wt,AMD,CCU,3141.1999999999985,1439.56,1701.64,45.83,54.17
Billed Wt,AMD,CHE,2004.24,529.64,1474.6000000000001,26.43,73.57
Billed Wt,AMD,CJB,1025.5999999999997,319.4,706.1999999999997,31.14,68.86
Billed Wt,AMD,COK,1932.8799999999997,673.36,1259.5199999999998,34.84,65.16
Billed Wt,AMD,DDL,2002.5999999999995,740.36,1262.24,36.97,63.03
Billed Wt,AMD,GAU,911.2800000000002,89.52,821.7600000000001,9.82,90.18
Billed Wt,AMD,HHPT,2290.0000000000005,408.8,1881.2000000000005,17.85,82.15
Billed Wt,AMD,HYD,3516.5600000000004,1915.28,1601.2799999999997,54.46,45.54
Billed Wt,AMD,IDR,1113.12,309.68,803.4399999999998,27.82,72.18
Billed Wt,AMD,JAI,1465.1599999999999,479.8,985.3599999999999,32.75,67.25
Billed Wt,AMD,MUM,2746.079999999999,1187.2799999999997,1558.8000000000004,43.24,56.76
Billed Wt,AMD,NGP,737.4800000000001,98.76,638.7200000000001,13.39,86.61
Billed Wt,AMD,PAT,1019.0799999999999,84.16,934.92,8.26,91.74
Billed Wt,AMD,PNQ,2815.7599999999993,1273.2800000000002,1542.48,45.22,54.78
Billed Wt,AMD,UPT,2866.0000000000023,531.56,2334.440000000001,18.55,81.45
Billed Wt,AMD,VJA,2142.04,868.04,1273.9999999999995,40.52,59.48
Billed Wt,BBI,AMD,164.83999999999995,0.0,164.83999999999995,0.0,100.0
Billed Wt,BBI,BBI,0.0,0.0,0.0,0.0,0.0
Billed Wt,BBI,BLR,584.72,0.0,584.72,0.0,100.0
Billed Wt,BBI,CCU,1161.96,691.72,470.23999999999995,59.53,40.47
Billed Wt,BBI,CHE,254.04,0.0,254.04,0.0,100.0
Billed Wt,BBI,CJB,61.44,0.0,61.44,0.0,100.0
Billed Wt,BBI,COK,73.47999999999999,0.0,73.47999999999999,0.0,100.0
Billed Wt,BBI,DDL,333.91999999999996,0.0,333.91999999999996,0.0,100.0
Billed Wt,BBI,GAU,100.11999999999999,0.0,100.11999999999999,0.0,100.0
Billed Wt,BBI,HHPT,152.04000000000002,0.0,152.04000000000002,0.0,100.0
Billed Wt,BBI,HYD,290.5199999999999,0.0,290.5199999999999,0.0,100.0
Billed Wt,BBI,IDR,100.96000000000001,0.0,100.96000000000001,0.0,100.0
Billed Wt,BBI,JAI,137.16,0.0,137.16,0.0,100.0
Billed Wt,BBI,MUM,439.88000000000005,62.08,377.80000000000007,14.11,85.89
Billed Wt,BBI,NGP,118.72000000000001,0.0,118.72000000000001,0.0,100.0
Billed Wt,BBI,PAT,332.11999999999995,88.6,243.52000000000007,26.68,73.32
Billed Wt,BBI,PNQ,345.0,78.08,266.92,22.63,77.37
Billed Wt,BBI,UPT,207.51999999999995,0.0,207.51999999999995,0.0,100.0
Billed Wt,BBI,VJA,118.92,0.0,118.92,0.0,100.0
Billed Wt,BLR,AMD,1742.88,628.0,1114.8799999999999,36.03,63.97
Billed Wt,BLR,BBI,1108.4000000000003,140.76,967.6400000000002,12.7,87.3
Billed Wt,BLR,BLR,0.0,0.0,0.0,0.0,0.0
